province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
,Cambodia,11/27/2021,11.55,104.9167,POINT(104.9167 11.55),120064,2927,,,,,Cambodia
,Cameroon,11/27/2021,3.848,11.5021,POINT(11.5021 3.848),106794,1791,,,,,Cameroon
Alberta,Canada,11/27/2021,53.9333,-116.5765,POINT(-116.5765 53.9333),334203,3235,,,,,"Alberta, Canada"
British Columbia,Canada,11/27/2021,53.7267,-127.6476,POINT(-127.6476 53.7267),217099,2322,,,,,"British Columbia, Canada"
Diamond Princess,Canada,11/27/2021,,,,0,1,,,,,"Diamond Princess, Canada"
Grand Princess,Canada,11/27/2021,,,,13,0,,,,,"Grand Princess, Canada"
Manitoba,Canada,11/27/2021,53.7609,-98.8139,POINT(-98.8139 53.7609),67420,1305,,,,,"Manitoba, Canada"
New Brunswick,Canada,11/27/2021,46.5653,-66.4619,POINT(-66.4619 46.5653),8172,123,,,,,"New Brunswick, Canada"
Newfoundland and Labrador,Canada,11/27/2021,53.1355,-57.6604,POINT(-57.6604 53.1355),2048,18,,,,,"Newfoundland and Labrador, Canada"
Northwest Territories,Canada,11/27/2021,64.8255,-124.8457,POINT(-124.8457 64.8255),2059,12,,,,,"Northwest Territories,Canada"
Nova Scotia,Canada,11/27/2021,44.682,-63.7443,POINT(-63.7443 44.682),8169,108,,,,,"Nova Scotia, Canada"
Nunavut,Canada,11/27/2021,70.2998,-83.1076,POINT(-83.1076 70.2998),674,4,,,,,"Nunavut, Canada"
Ontario,Canada,11/27/2021,51.2538,-85.3232,POINT(-85.3232 51.2538),624250,10045,,,,,"Ontario, Canada"
Prince Edward Island,Canada,11/27/2021,46.5107,-63.4168,POINT(-63.4168 46.5107),363,0,,,,,"Prince Edward Island, Canada"
Quebec,Canada,11/27/2021,52.9399,-73.5491,POINT(-73.5491 52.9399),445755,11574,,,,,"Quebec, Canada"
Repatriated Travellers,Canada,11/27/2021,,,,13,0,,,,,"Repatriated Travellers, Canada"
Saskatchewan,Canada,11/27/2021,52.9399,-106.4509,POINT(-106.4509 52.9399),80848,921,,,,,"Saskatchewan, Canada"
Yukon,Canada,11/27/2021,64.2823,-135,POINT(-135 64.2823),1475,13,,,,,"Yukon, Canada"
,Central African Republic,11/27/2021,6.6111,20.9394,POINT(20.9394 6.6111),11708,101,,,,,Central African Republic
,Chad,11/27/2021,15.4542,18.7322,POINT(18.7322 15.4542),5107,175,,,,,Chad
Antofagasta,Chile,11/27/2021,-23.6509,-70.3975,POINT(-70.3975 -23.6509),65198,1267,,,,,"Antofagasta, Chile"
Araucania,Chile,11/27/2021,-38.9489,-72.3311,POINT(-72.3311 -38.9489),101340,1528,,,,,"Araucania, Chile"
Arica y Parinacota,Chile,11/27/2021,-18.594,-69.4785,POINT(-69.4785 -18.594),28521,542,,,,,"Arica y Parinacota, Chile"
Atacama,Chile,11/27/2021,-27.5661,-70.0503,POINT(-70.0503 -27.5661),29383,369,,,,,"Atacama, Chile"
Aysen,Chile,11/27/2021,-45.9864,-73.7669,POINT(-73.7669 -45.9864),9619,81,,,,,"Aysen, Chile"
Biobio,Chile,11/27/2021,-37.4464,-72.1416,POINT(-72.1416 -37.4464),160216,2728,,,,,"Biobio, Chile"
Coquimbo,Chile,11/27/2021,-29.959,-71.3389,POINT(-71.3389 -29.959),52638,1057,,,,,"Coquimbo, Chile"
Los Lagos,Chile,11/27/2021,-41.9198,-72.1416,POINT(-72.1416 -41.9198),93870,1431,,,,,"Los Lagos, Chile"
Los Rios,Chile,11/27/2021,-40.231,-72.3311,POINT(-72.3311 -40.231),51656,703,,,,,"Los Rios, Chile"
Magallanes,Chile,11/27/2021,-52.368,-70.9863,POINT(-70.9863 -52.368),29624,499,,,,,"Magallanes, Chile"
Maule,Chile,11/27/2021,-35.5183,-71.6885,POINT(-71.6885 -35.5183),107449,1817,,,,,"Maule, Chile"
Metropolitana,Chile,11/27/2021,-33.4376,-70.6505,POINT(-70.6505 -33.4376),740278,19640,,,,,"Metropolitana, Chile"
Nuble,Chile,11/27/2021,-36.7226,-71.7622,POINT(-71.7622 -36.7226),38011,659,,,,,"Nuble, Chile"
OHiggins,Chile,11/27/2021,-34.5755,-71.0022,POINT(-71.0022 -34.5755),72072,1601,,,,,"OHiggins, Chile"
Tarapaca,Chile,11/27/2021,-19.9232,-69.5132,POINT(-69.5132 -19.9232),44009,816,,,,,"Tarapaca, Chile"
Unknown,Chile,11/27/2021,,,,46,0,,,,,"Unknown, Chile"
Valparaiso,Chile,11/27/2021,-33.0472,-71.6127,POINT(-71.6127 -33.0472),133147,3544,,,,,"Valparaiso, Chile"
Anhui,China,11/27/2021,31.8257,117.2264,POINT(117.2264 31.8257),1008,6,,,,,"Anhui, China"
Beijing,China,11/27/2021,40.1824,116.4142,POINT(116.4142 40.1824),1191,9,,,,,"Beijing, China"
Chongqing,China,11/27/2021,30.0572,107.874,POINT(107.874 30.0572),610,6,,,,,"Chongqing, China"
Fujian,China,11/27/2021,26.0789,117.9874,POINT(117.9874 26.0789),1320,1,,,,,"Fujian, China"
Gansu,China,11/27/2021,35.7518,104.2861,POINT(104.2861 35.7518),344,2,,,,,"Gansu, China"
Guangdong,China,11/27/2021,23.3417,113.4244,POINT(113.4244 23.3417),3297,8,,,,,"Guangdong, China"
Guangxi,China,11/27/2021,23.8298,108.7881,POINT(108.7881 23.8298),395,2,,,,,"Guangxi, China"
Guizhou,China,11/27/2021,26.8154,106.8748,POINT(106.8748 26.8154),159,2,,,,,"Guizhou, China"
Hainan,China,11/27/2021,19.1959,109.7453,POINT(109.7453 19.1959),190,6,,,,,"Hainan, China"
Hebei,China,11/27/2021,37.8957,114.9042,POINT(114.9042 37.8957),1453,7,,,,,"Hebei, China"
Heilongjiang,China,11/27/2021,47.862,127.7615,POINT(127.7615 47.862),1992,13,,,,,"Heilongjiang, China"
Henan,China,11/27/2021,33.882,113.614,POINT(113.614 33.882),1637,22,,,,,"Henan, China"
Hong Kong,China,11/27/2021,22.3,114.2,POINT(114.2 22.3),12424,213,,,,,"Hong Kong, China"
Hubei,China,11/27/2021,30.9756,112.2707,POINT(112.2707 30.9756),68311,4512,,,,,"Hubei, China"
Hunan,China,11/27/2021,27.6104,111.7088,POINT(111.7088 27.6104),1199,4,,,,,"Hunan, China"
Inner Mongolia,China,11/27/2021,44.0935,113.9448,POINT(113.9448 44.0935),618,1,,,,,"Inner Mongolia, China"
Jiangsu,China,11/27/2021,32.9711,119.455,POINT(119.455 32.9711),1619,0,,,,,"Jiangsu, China"
Jiangxi,China,11/27/2021,27.614,115.7221,POINT(115.7221 27.614),959,1,,,,,"Jiangxi, China"
Jilin,China,11/27/2021,43.6661,126.1923,POINT(126.1923 43.6661),583,3,,,,,"Jilin, China"
Liaoning,China,11/27/2021,41.2956,122.6085,POINT(122.6085 41.2956),784,2,,,,,"Liaoning, China"
Macau,China,11/27/2021,22.1667,113.55,POINT(113.55 22.1667),77,0,,,,,"Macau, China"
Ningxia,China,11/27/2021,37.2692,106.1655,POINT(106.1655 37.2692),122,0,,,,,"Ningxia, China"
Qinghai,China,11/27/2021,35.7452,95.9956,POINT(95.9956 35.7452),30,0,,,,,"Qinghai, China"
Shaanxi,China,11/27/2021,35.1917,108.8701,POINT(108.8701 35.1917),707,3,,,,,"Shaanxi, China"
Shandong,China,11/27/2021,36.3427,118.1498,POINT(118.1498 36.3427),1017,7,,,,,"Shandong, China"
Shanghai,China,11/27/2021,31.202,121.4491,POINT(121.4491 31.202),2847,7,,,,,"Shanghai, China"
Shanxi,China,11/27/2021,37.5777,112.2922,POINT(112.2922 37.5777),264,0,,,,,"Shanxi, China"
Sichuan,China,11/27/2021,30.6171,102.7103,POINT(102.7103 30.6171),1271,3,,,,,"Sichuan, China"
Tianjin,China,11/27/2021,39.3054,117.323,POINT(117.323 39.3054),530,3,,,,,"Tianjin, China"
Tibet,China,11/27/2021,31.6927,88.0924,POINT(88.0924 31.6927),1,0,,,,,"Tibet, China"
Unknown,China,11/27/2021,,,,0,0,,,,,"Unknown, China"
Xinjiang,China,11/27/2021,41.1129,85.2401,POINT(85.2401 41.1129),981,3,,,,,"Xinjiang, China"
Yunnan,China,11/27/2021,24.974,101.487,POINT(101.487 24.974),1691,2,,,,,"Yunnan, China"
Zhejiang,China,11/27/2021,29.1832,120.0934,POINT(120.0934 29.1832),1501,1,,,,,"Zhejiang, China"
Amazonas,Colombia,11/27/2021,-1.4429,-71.5724,POINT(-71.5724 -1.4429),6900,257,,,,,"Amazonas, Colombia"
Antioquia,Colombia,11/27/2021,7.1986,-75.3412,POINT(-75.3412 7.1986),768320,16523,,,,,"Antioquia, Colombia"
Arauca,Colombia,11/27/2021,7.0762,-70.7105,POINT(-70.7105 7.0762),14002,471,,,,,"Arauca, Colombia"
Atlantico,Colombia,11/27/2021,10.6966,-74.8741,POINT(-74.8741 10.6966),338573,9663,,,,,"Atlantico, Colombia"
Bolivar,Colombia,11/27/2021,8.6704,-74.03,POINT(-74.03 8.6704),160324,3023,,,,,"Bolivar, Colombia"
Boyaca,Colombia,11/27/2021,5.4545,-73.362,POINT(-73.362 5.4545),106307,2575,,,,,"Boyaca, Colombia"
Caldas,Colombia,11/27/2021,5.2983,-75.2479,POINT(-75.2479 5.2983),101240,2283,,,,,"Caldas, Colombia"
Capital District,Colombia,11/27/2021,4.711,-74.0721,POINT(-74.0721 4.711),1462014,27608,,,,,"Capital District, Colombia"
Caqueta,Colombia,11/27/2021,0.8699,-73.8419,POINT(-73.8419 0.8699),22988,941,,,,,"Caqueta, Colombia"
Casanare,Colombia,11/27/2021,5.7589,-71.5724,POINT(-71.5724 5.7589),35897,935,,,,,"Casanare, Colombia"
Cauca,Colombia,11/27/2021,2.705,-76.826,POINT(-76.826 2.705),56791,1587,,,,,"Cauca, Colombia"
Cesar,Colombia,11/27/2021,9.3373,-73.6536,POINT(-73.6536 9.3373),91647,2523,,,,,"Cesar, Colombia"
Choco,Colombia,11/27/2021,5.2528,-76.826,POINT(-76.826 5.2528),16497,400,,,,,"Choco, Colombia"
Cordoba,Colombia,11/27/2021,8.0493,-75.574,POINT(-75.574 8.0493),104560,3741,,,,,"Cordoba, Colombia"
Cundinamarca,Colombia,11/27/2021,5.026,-74.03,POINT(-74.03 5.026),266123,6845,,,,,"Cundinamarca, Colombia"
Guainia,Colombia,11/27/2021,2.5854,-68.5247,POINT(-68.5247 2.5854),2485,30,,,,,"Guainia, Colombia"
Guaviare,Colombia,11/27/2021,1.0654,-73.2603,POINT(-73.2603 1.0654),5158,97,,,,,"Guaviare, Colombia"
Huila,Colombia,11/27/2021,2.5359,-75.5277,POINT(-75.5277 2.5359),88928,3158,,,,,"Huila, Colombia"
La Guajira,Colombia,11/27/2021,11.3548,-72.5205,POINT(-72.5205 11.3548),45618,1399,,,,,"La Guajira, Colombia"
Magdalena,Colombia,11/27/2021,10.4113,-74.4057,POINT(-74.4057 10.4113),99723,3431,,,,,"Magdalena, Colombia"
Meta,Colombia,11/27/2021,3.272,-73.0877,POINT(-73.0877 3.272),90122,2282,,,,,"Meta, Colombia"
Narino,Colombia,11/27/2021,1.2892,-77.3579,POINT(-77.3579 1.2892),90364,3042,,,,,"Narino, Colombia"
Norte de Santander,Colombia,11/27/2021,7.9463,-72.8988,POINT(-72.8988 7.9463),98266,4502,,,,,"Norte de Santander, Colombia"
Putumayo,Colombia,11/27/2021,0.436,-75.5277,POINT(-75.5277 0.436),16989,682,,,,,"Putumayo, Colombia"
Quindio,Colombia,11/27/2021,4.461,-75.6674,POINT(-75.6674 4.461),57933,1793,,,,,"Quindio, Colombia"
Risaralda,Colombia,11/27/2021,5.3158,-75.9928,POINT(-75.9928 5.3158),88437,2247,,,,,"Risaralda, Colombia"
San Andres y Providencia,Colombia,11/27/2021,12.5567,-81.7185,POINT(-81.7185 12.5567),8041,146,,,,,"San Andres y Providencia, Colombia"
Santander,Colombia,11/27/2021,6.6437,-73.6536,POINT(-73.6536 6.6437),230280,7380,,,,,"Santander, Colombia"
Sucre,Colombia,11/27/2021,8.814,-74.7233,POINT(-74.7233 8.814),59638,1627,,,,,"Sucre, Colombia"
Tolima,Colombia,11/27/2021,4.0925,-75.1545,POINT(-75.1545 4.0925),108087,3677,,,,,"Tolima, Colombia"
Unknown,Colombia,11/27/2021,,,,0,296,,,,,"Unknown, Colombia"
Valle del Cauca,Colombia,11/27/2021,3.8009,-76.6413,POINT(-76.6413 3.8009),416130,13160,,,,,"Valle del Cauca, Colombia"
Vaupes,Colombia,11/27/2021,0.8554,-70.812,POINT(-70.812 0.8554),1794,17,,,,,"Vaupes, Colombia"
Vichada,Colombia,11/27/2021,4.4234,-69.2878,POINT(-69.2878 4.4234),3001,53,,,,,"Vichada, Colombia"
,Comoros,11/27/2021,-11.6455,43.3333,POINT(43.3333 -11.6455),4489,150,,,,,Comoros
,Congo (Brazzaville),11/27/2021,-0.228,15.8277,POINT(15.8277 -0.228),18837,349,,,,,Congo (Brazzaville)
,Congo (Kinshasa),11/27/2021,-4.0383,21.7587,POINT(21.7587 -4.0383),58115,1104,,,,,Congo (Kinshasa)
,Costa Rica,11/27/2021,9.7489,-83.7534,POINT(-83.7534 9.7489),566560,7287,,,,,Costa Rica
,Cote d'Ivoire,11/27/2021,7.54,-5.5471,POINT(-5.5471 7.54),61704,704,,,,,Cote d'Ivoire
,Croatia,11/27/2021,45.1,15.2,POINT(15.2 45.1),599977,10695,,,,,Croatia
,Cuba,11/27/2021,21.521757,-77.781167,POINT(-77.781167 21.521757),962067,8300,,,,,Cuba
,Cyprus,11/27/2021,35.1264,33.4299,POINT(33.4299 35.1264),131951,591,,,,,Cyprus
,Czechia,11/27/2021,49.8175,15.473,POINT(15.473 49.8175),2110274,32744,,,,,Czechia
Faroe Islands,Denmark,11/27/2021,61.8926,-6.9118,POINT(-6.9118 61.8926),3408,13,,,,,"Faroe Islands, Denmark"
Greenland,Denmark,11/27/2021,71.7069,-42.6043,POINT(-42.6043 71.7069),1332,0,,,,,"Greenland, Denmark"
,Denmark,11/27/2021,56.2639,9.5018,POINT(9.5018 56.2639),474637,2863,,,,,Denmark
,Diamond Princess,11/27/2021,,,,712,13,,,,,Diamond Princess
,Djibouti,11/27/2021,11.8251,42.5903,POINT(42.5903 11.8251),13504,186,,,,,Djibouti
,Dominica,11/27/2021,15.415,-61.371,POINT(-61.371 15.415),5819,37,,,,,Dominica
,Dominican Republic,11/27/2021,18.7357,-70.1627,POINT(-70.1627 18.7357),406511,4204,,,,,Dominican Republic
,Ecuador,11/27/2021,-1.8312,-78.1834,POINT(-78.1834 -1.8312),524432,33128,,,,,Ecuador
,Egypt,11/27/2021,26.820553,30.802498,POINT(30.802498 26.820553),355767,20305,,,,,Egypt
,El Salvador,11/27/2021,13.7942,-88.8965,POINT(-88.8965 13.7942),118919,3769,,,,,El Salvador
,Equatorial Guinea,11/27/2021,1.6508,10.2679,POINT(10.2679 1.6508),13579,173,,,,,Equatorial Guinea
,Eritrea,11/27/2021,15.1794,39.7823,POINT(39.7823 15.1794),7305,60,,,,,Eritrea
,Estonia,11/27/2021,58.5953,25.0136,POINT(25.0136 58.5953),221160,1789,,,,,Estonia
